职位名称,薪资范围,公司名称,公司人数,工作经验
商业平台-高级运维开发工程师,40,搜狗,2000,本科
商业平台-运维开发工程师,40,搜狗,2000,本科
大数据运维,15,睿帆科技,50,大专
运维工程师,12,龙湾科技,500,大专
运维Leader,80,俊杰明通,500,本科
存储运维岗,25,华夏银行信用卡中心,2000,本科
运维开发工程师,30,畅聊天下,500,不限
OpenStack运维开发工程师,60,区块节点,150,本科
高级运维工程师,40,最右,2000,本科
商业平台-高级运维开发工程师,40,搜狗,2000,本科
商业平台-运维开发工程师,40,搜狗,2000,本科
大数据运维,15,睿帆科技,50,大专
大数据运维工程师,15,睿帆科技,50,大专
应用运维SRE - 资深/专家,45,作业帮,2000,本科
linux运维工程师,15,普强信息,500,本科
大数据运维工程师,40,京东集团,2000,本科
大数据运维工程师,40,京东数字科技,2000,本科
运维开发工程师,40,爱奇艺,2000,本科
运维工程师,12,法本信息,2000,大专
大数据平台运维工程师-北京,20,小鱼易连,500,本科
移动设备运维工程师(MJ004235),10,作业帮,2000,本科
密室逃脱运维工程师包住,8,上海密宝文化传播有限公司,150,本科
运维开发工程师（c++方向）,20,深圳穗彩,500,本科
运维工程师,15,北京马赫谷科技有限公司,50,本科
高级业务运维工程师,30,阅文集团,2000,本科
运维工程师,20,玄吉信息技术,50,本科
BJ009-ERP运维服务代表,10,金蝶云创,150,本科
应用运维工程师,20,横琴人寿,500,本科
高级运维工程师,35,微吼,500,本科
流媒体运维工程师,25,微吼,500,本科
运维工程师,25,龙湾科技,500,大专
运维工程师,14,云霁科技,150,本科
it运维工程师,25,贤牛科技,150,本科
it运维工程师,25,贤牛科技,150,本科
大数据运维工程师,40,360数科,2000,本科
运维工程师,20,天拓四方,500,本科
初级运维工程师BJ,12,MRS,50,本科
测试运维工程师,20,亚信安全,2000,本科
运维实习生,6,豆果美食,150,不限
现场运维工程师,8,中钞科信,500,大专
运维/技术支持工程师,8,博维恒信科技,150,本科
运维工程师,10,绿点科技,500,本科
高级运维开发工程师,22,卓望,2000,本科
综合运维工程师,20,PTMIND,500,本科
自动化运维工程师,40,字节跳动,2000,本科
分布式存储运维开发工程师,50,字节跳动,2000,本科
运维实习生,6,赢时胜软件,2000,本科
运维开发工程师,50,金山云,2000,本科
实施运维经理（银行）,20,赢时胜软件,2000,本科
主机运维工程师,40,金山云,2000,本科
自动化运维实施工程师,12,中科软,2000,本科
运维工程师（docker、k8s微服务方向）,14,中科软,2000,本科
高级运维工程师,30,360,2000,本科
资深云平台运维工程师,40,恒昌利通,2000,本科
高级运维开发工程师,35,恒昌利通,2000,本科
运维开发专家_持续集成/配置管理,60,360,2000,本科
数据开发运维工程师,15,祥云智能,500,大专
交付运维工程师（实习）,4,灵雀云,500,本科
运维实习生,6,优贝在线,500,本科
运维工程师,10,高凌信息,500,本科
ERP运维实习生,9,金蝶云创,150,本科
数据库运维开发工程师,13,万里开源,500,本科
数据库运维工程师,12,万里开源,500,本科
高级运维工程师,35,疯狂游戏,500,本科
IT运维工程师,15,疯狂游戏,500,本科
运维开发工程师,40,旷视MEGVII,2000,本科
云计算系统运维工程师（北京）,25,云霁科技,150,本科
运维经理/总监,40,循环智能,150,本科
运维工程师,15,联通时科,500,本科
运维工程师,15,阳光人寿,2000,本科
基础运维工程师（DBA方向）,40,泰康资产,2000,本科
业务分析及运维（交易运维）,40,泰康资产,2000,本科
数据库运维开发工程师,30,蔷薇控股,500,本科
高级运维开发工程师,25,高灯科技,2000,本科
